deviceId,system-ip,host-name,reachability,status,personality,device-type,timezone,device-groups,lastupdated,domain-id,board-serial,certificate-validity,max-controllers,uuid,controlConnections,device-model,version,connectedVManages,site-id,latitude,longitude,isDeviceGeoData,platform,uptime-date,statusOrder,device-os,validity,state,state_description,model_sku,local-system-ip,total_cpu_count,testbed_mode,layoutLevel,ompPeers,linux_cpu_count,bfdSessionsUp,bfdSessions,source_ip,collection_status,reason,collection_timestamp
1.1.1.1,1.1.1.1,CNXS-IE-vManage,reachable,normal,vmanage,vmanage,America/Los_Angeles,No groups,1735252098593,0.0,09C1DA399051FEA4E4B90C99CF5B6A9173C9C7F7,Valid,0.0,e6e83ed5-f583-4ae3-8abc-a83e5e130b7e,9,vmanage,20.9.3,1.1.1.1,1,37.666684,-122.777023,False,x86_64,1731624000000,4,next,valid,green,All daemons up,,1.1.1.1,16,False,1,,,,,10.122.127.100,Success,,1735626876356
1.1.1.3,1.1.1.3,CNXS-IE-vSmart,reachable,normal,vsmart,vsmart,UTC,No groups,1735582192172,1.0,09C1DA399051FEA4E4B90C99CF5B6A9173C9C7F9,Valid,,eaffb854-aa47-4ef7-85da-7f50313a5875,14,vsmart,20.9.3,1.1.1.1,3,37.666684,-122.777023,False,x86_64,1682034600000,4,next,valid,green,All daemons up,,1.1.1.3,2,False,2,7,,,,10.122.127.100,Success,,1735626876356
1.1.1.2,1.1.1.2,CNXS-IE-vBond,reachable,normal,vbond,vbond,UTC,No groups,1735582192404,,09C1DA399051FEA4E4B90C99CF5B6A9173C9C7F8,Valid,,088cfab7-e9f6-4b4f-b6f9-d46653a771e9,--,vedge-cloud,20.9.3,1.1.1.1,2,37.666684,-122.777023,False,x86_64,1682034240000,4,next,valid,green,All daemons up,,1.1.1.2,2,False,3,--,1.0,,,10.122.127.100,Success,,1735626876356
4.4.4.5,4.4.4.1,CNXS-C1100X-1-SS-1,reachable,normal,vedge,vedge,UTC +0000,SS,1735601423329,1.0,068214354403841588D3,Valid,0.0,C1121X-8PLTEPWB-FGL2704MLAV,2,vedge-C1121X-8PLTEPW,17.09.03.0.15,1.1.1.1,401,37.4316,78.6569,True,x86_64,1682035140000,4,next,valid,green,All daemons up,,4.4.4.1,4,False,4,1,2.0,4.0,4,10.122.127.100,Success,,1735626876356
4.4.4.2,4.4.4.2,CNXS-C1100X-2-SS-2,reachable,normal,vedge,vedge,UTC +0000,SS,1735601419517,1.0,089120830425868768D3,Valid,0.0,C1121X-8PLTEPWB-FGL2704MLBN,2,vedge-C1121X-8PLTEPW,17.09.03.0.15,1.1.1.1,401,37.4316,78.6569,True,x86_64,1682550480000,4,next,valid,green,All daemons up,,4.4.4.2,4,False,4,1,2.0,4.0,4,10.122.127.100,Success,,1735626876356
5.5.5.1,5.5.5.1,CNXS-C1100X-3-VSS-1,unreachable,normal,vedge,vedge,UTC +0000,VSS,1700759582299,1.0,057207737599013788D3,Valid,0.0,C1121X-8PLTEPWB-FGL2704MLC3,--,vedge-C1121X-8PLTEPW,17.09.03.0.15,[],501,37.4316,78.6569,True,x86_64,1696965960000,4,next,valid,green,All daemons up,,5.5.5.1,4,False,4,--,2.0,0.0,--,10.122.127.100,Success,,1735626876356
3.3.3.2,3.3.3.2,CNXS-C1100X-4-RETAIL-1,reachable,normal,vedge,vedge,UTC +0000,Retail,1735601423445,1.0,024743325788282108D3,Valid,0.0,C1121X-8PLTEPWB-FGL2704MLBY,2,vedge-C1121X-8PLTEPW,17.09.03.0.15,1.1.1.1,301,37.4316,78.6569,True,x86_64,1714579380000,4,next,valid,green,All daemons up,,3.3.3.2,4,False,4,1,2.0,4.0,4,10.122.127.100,Success,,1735626876356
2.2.2.1,2.2.2.1,CNXS-C8500-1,reachable,normal,vedge,vedge,UTC +0000,Hub,1735601411426,1.0,03308581306691108435,Valid,0.0,C8500-12X-TTM252000QG,3,vedge-C8500-12X,17.09.03.0.15,1.1.1.1,201,37.4316,78.6569,True,x86_64,1682037180000,4,next,valid,green,All daemons up,,2.2.2.1,8,False,4,1,8.0,7.0,7,10.122.127.100,Success,,1735626876356
2.2.2.2,2.2.2.2,CNXS-C8500-2,reachable,normal,vedge,vedge,UTC +0000,Hub,1735601411355,1.0,05245840840158042435,Valid,0.0,C8500-12X-TTM252000QT,3,vedge-C8500-12X,17.09.03.0.15,1.1.1.1,201,37.4316,78.6569,True,x86_64,1682037960000,4,next,valid,green,All daemons up,,2.2.2.2,8,False,4,1,8.0,7.0,7,10.122.127.100,Success,,1735626876356
2.2.2.3,2.2.2.3,CNXS-C8500-3,reachable,normal,vedge,vedge,UTC +0000,Hub,1735601411377,1.0,04271175489612805435,Valid,0.0,C8500-12X-TTM251909DM,3,vedge-C8500-12X,17.09.03.0.15,1.1.1.1,204,37.4316,78.6569,True,x86_64,1682037180000,4,next,valid,green,All daemons up,,2.2.2.3,8,False,4,1,8.0,7.0,7,10.122.127.100,Success,,1735626876356
2.2.2.4,2.2.2.4,CNXS-C8500-4,reachable,normal,vedge,vedge,UTC +0000,Hub,1735601411401,1.0,06115900908096775435,Valid,0.0,C8500-12X-TTM2519071Y,3,vedge-C8500-12X,17.09.03.0.15,1.1.1.1,204,37.4316,78.6569,True,x86_64,1682037960000,4,next,valid,green,All daemons up,,2.2.2.4,8,False,4,1,8.0,7.0,7,10.122.127.100,Success,,1735626876356
