source_ip,collection_status,reason,collection_timestamp,dst-ip,src-ip,color,vdevice-name,src-port,createTimeStamp,system-ip,dst-port,site-id,transitions,vdevice-host-name,local-color,detect-multiplier,vdevice-dataKey,@rid,vmanage-system-ip,proto,lastupdated,state,tx-interval,uptime-date
10.122.127.100,Success,,1735626889902,10.10.102.2,10.10.102.18,biz-internet,4.4.4.5,12386.0,1681706460904.0,2.2.2.1,12386.0,201.0,1.0,Router,default,7,4.4.4.5-default-2.2.2.1-biz-internet-ipsec,1485.0,4.4.4.5,ipsec,1681707787291.0,down,1000.0,1681707660000.0
10.122.127.100,Success,,1735626889902,10.10.102.6,10.10.102.18,default,4.4.4.5,12386.0,1681706460946.0,2.2.2.5,12366.0,201.0,0.0,Router,default,7,4.4.4.5-default-2.2.2.5-default-ipsec,1486.0,4.4.4.5,ipsec,1681707711369.0,down,1000.0,
10.122.127.100,Success,,1735626889902,10.10.102.6,10.10.102.18,biz-internet,4.4.4.5,12386.0,1681706460986.0,2.2.2.2,12386.0,201.0,1.0,Router,default,7,4.4.4.5-default-2.2.2.2-biz-internet-ipsec,1487.0,4.4.4.5,ipsec,1681707787291.0,down,1000.0,1681707660000.0
10.122.127.100,Success,,1735626889902,10.10.102.14,10.10.102.18,biz-internet,4.4.4.5,12386.0,1681706461021.0,2.2.2.4,12386.0,204.0,1.0,Router,default,7,4.4.4.5-default-2.2.2.4-biz-internet-ipsec,1488.0,4.4.4.5,ipsec,1681707787291.0,down,1000.0,1681707660000.0
10.122.127.100,Success,,1735626889902,10.10.102.22,10.10.102.18,biz-internet,4.4.4.5,12386.0,1681706461051.0,3.3.3.2,12366.0,301.0,1.0,Router,default,7,4.4.4.5-default-3.3.3.2-biz-internet-ipsec,1489.0,4.4.4.5,ipsec,1681707787291.0,down,1000.0,1681707660000.0
10.122.127.100,Success,,1735626893220,10.10.101.2,10.10.101.18,mpls,4.4.4.2,12426.0,1693252961497.0,2.2.2.1,12426.0,201.0,0.0,CNXS-C1100X-2-SS-2,mpls,7,4.4.4.2-mpls-2.2.2.1-mpls-ipsec,1508.0,4.4.4.2,ipsec,1731624441062.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626893220,10.10.101.10,10.10.101.18,mpls,4.4.4.2,12426.0,1683057461477.0,2.2.2.3,12366.0,204.0,0.0,CNXS-C1100X-2-SS-2,mpls,7,4.4.4.2-mpls-2.2.2.3-mpls-ipsec,2027.0,4.4.4.2,ipsec,1731624441062.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626893220,10.10.101.14,10.10.101.18,mpls,4.4.4.2,12426.0,1683057461527.0,2.2.2.4,12346.0,204.0,0.0,CNXS-C1100X-2-SS-2,mpls,7,4.4.4.2-mpls-2.2.2.4-mpls-ipsec,2037.0,4.4.4.2,ipsec,1731624441062.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626893220,10.10.101.6,10.10.101.18,mpls,4.4.4.2,12426.0,1693252961538.0,2.2.2.2,12366.0,201.0,0.0,CNXS-C1100X-2-SS-2,mpls,7,4.4.4.2-mpls-2.2.2.2-mpls-ipsec,3135.0,4.4.4.2,ipsec,1731624441062.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626896533,10.10.101.10,10.10.101.22,mpls,5.5.5.1,12346.0,1683057461513.0,2.2.2.3,12426.0,204.0,0.0,CNXS-C1100X-3-VSS-1,mpls,7,5.5.5.1-mpls-2.2.2.3-mpls-ipsec,2035.0,5.5.5.1,ipsec,1699495131275.0,up,1000.0,1696966080000.0
10.122.127.100,Success,,1735626896533,10.10.101.2,10.10.101.22,mpls,5.5.5.1,12346.0,1693252969292.0,2.2.2.1,12386.0,201.0,0.0,CNXS-C1100X-3-VSS-1,mpls,7,5.5.5.1-mpls-2.2.2.1-mpls-ipsec,2038.0,5.5.5.1,ipsec,1699495131275.0,up,1000.0,1696966080000.0
10.122.127.100,Success,,1735626896533,10.10.101.14,10.10.101.22,mpls,5.5.5.1,12346.0,1683057461555.0,2.2.2.4,12426.0,204.0,0.0,CNXS-C1100X-3-VSS-1,mpls,7,5.5.5.1-mpls-2.2.2.4-mpls-ipsec,2089.0,5.5.5.1,ipsec,1699495131275.0,up,1000.0,1696966080000.0
10.122.127.100,Success,,1735626896533,10.10.101.6,10.10.101.22,mpls,5.5.5.1,12346.0,1693252969333.0,2.2.2.2,12426.0,201.0,0.0,CNXS-C1100X-3-VSS-1,mpls,7,5.5.5.1-mpls-2.2.2.2-mpls-ipsec,3232.0,5.5.5.1,ipsec,1699495131275.0,up,1000.0,1696966080000.0
10.122.127.100,Success,,1735626899836,10.10.102.2,10.10.102.22,biz-internet,3.3.3.2,12406.0,1714579275968.0,2.2.2.1,12426.0,201.0,0.0,CNXS-C1100X-4-RETAIL-1,biz-internet,7,3.3.3.2-biz-internet-2.2.2.1-biz-internet-ipsec,2764.0,3.3.3.2,ipsec,1731624438020.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626899836,10.10.102.6,10.10.102.22,biz-internet,3.3.3.2,12406.0,1714579276060.0,2.2.2.2,12426.0,201.0,0.0,CNXS-C1100X-4-RETAIL-1,biz-internet,7,3.3.3.2-biz-internet-2.2.2.2-biz-internet-ipsec,2766.0,3.3.3.2,ipsec,1731624438020.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626899836,10.10.102.10,10.10.102.22,biz-internet,3.3.3.2,12406.0,1714579276142.0,2.2.2.3,12426.0,204.0,0.0,CNXS-C1100X-4-RETAIL-1,biz-internet,7,3.3.3.2-biz-internet-2.2.2.3-biz-internet-ipsec,2768.0,3.3.3.2,ipsec,1731624438020.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626899836,10.10.102.14,10.10.102.22,biz-internet,3.3.3.2,12406.0,1714579276195.0,2.2.2.4,12346.0,204.0,0.0,CNXS-C1100X-4-RETAIL-1,biz-internet,7,3.3.3.2-biz-internet-2.2.2.4-biz-internet-ipsec,2769.0,3.3.3.2,ipsec,1731624438020.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626903240,10.10.102.18,10.10.102.2,biz-internet,2.2.2.1,12426.0,1693245397716.0,4.4.4.1,12426.0,401.0,0.0,CNXS-C8500-1,biz-internet,7,2.2.2.1-biz-internet-4.4.4.1-biz-internet-ipsec,1393.0,2.2.2.1,ipsec,1731624434757.0,up,1000.0,1731597960000.0
10.122.127.100,Success,,1735626903240,10.10.101.10,10.10.101.2,mpls,2.2.2.1,12426.0,1683057467141.0,2.2.2.3,12366.0,204.0,0.0,CNXS-C8500-1,mpls,7,2.2.2.1-mpls-2.2.2.3-mpls-ipsec,2467.0,2.2.2.1,ipsec,1731531092648.0,up,1000.0,1731531060000.0
10.122.127.100,Success,,1735626903240,10.10.101.14,10.10.101.2,mpls,2.2.2.1,12426.0,1683057467174.0,2.2.2.4,12346.0,204.0,0.0,CNXS-C8500-1,mpls,7,2.2.2.1-mpls-2.2.2.4-mpls-ipsec,2561.0,2.2.2.1,ipsec,1731531092648.0,up,1000.0,1731531060000.0
