action,alarm_class,reason,rule,rule_id,severity,state,raise_code,grok,key_eval
DROP,Interface,LINK UP Alert,syslog_code = "LINEPROTO-5-UPDOWN" and raw contains "changed state to up" and raw contains "Serial",A098,Info,Clear,,"^(?:<\d+>\s+%{SYSLOGTIMESTAMP}\s+)?%%{DATA:syslog_code}: .*Interface\s+(?<interface_name>[A-Za-z]+[A-Za-z0-9/._-]*),?.*$",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
DROP,Interface,LINK DOWN Alert,syslog_code = "LINEPROTO-5-UPDOWN" and raw contains "changed state to down" and raw contains "Serial",A099,Info,Open,,"^(?:<\d+>\s+%{SYSLOGTIMESTAMP}\s+)?%%{DATA:syslog_code}: .*Interface\s+(?<interface_name>[A-Za-z]+[A-Za-z0-9/._-]*),?.*$",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
KEEP,Interface,LINK UP Alert,syslog_code = "LINEPROTO-5-UPDOWN" and raw contains "changed state to up",A100,Info,Clear,,"^(?:<\d+>\s+%{SYSLOGTIMESTAMP}\s+)?%%{DATA:syslog_code}: .*Interface\s+(?<interface_name>[A-Za-z]+[A-Za-z0-9/._-]*),?.*$",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
KEEP,Interface,LINK DOWN Alert,syslog_code = "LINEPROTO-5-UPDOWN" and raw contains "changed state to down",A101,Info,Open,,"^(?:<\d+>\s+%{SYSLOGTIMESTAMP}\s+)?%%{DATA:syslog_code}: .*Interface\s+(?<interface_name>[A-Za-z]+[A-Za-z0-9/._-]*),?.*$",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
KEEP,Interface,ADMIN UP Alert,raw contains "ADMIN UP",A102,Info,Clear,,"%{GREEDYDATA}: (Line protocol on )?Interface %{DATA:interface_name}(,)? (changed state|has changed state) to (?<syslog_code>ADMIN UP)",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
KEEP,MemoryAllocationFailure,Memory Allocation Failure,syslog_code = "MEM_ECC-2-MALLOC",A103,Info,Open,,(?:<%{INT}> )?(?:%{MONTH} +%{MONTHDAY} +%{TIME} )?%?%{NOTSPACE:syslog_code}:,f'{rda_gw_client_ip}_{syslog_code}'
KEEP,PowerSupply,Power Supply Failure,syslog_code = "CI-3-PSFAIL",A104,Notice,Open,,<%{INT}> %{MONTH} +%{MONTHDAY} +%{TIME} %%{NOTSPACE:syslog_code}\s*:,f'{rda_gw_client_ip}_{syslog_code}'
DROP,Interface,Interface up,syslog_code = "LINK-3-UPDOWN" and raw contains "changed state to up" and raw contains "Serial",A10401,Info,Clear,,"%{GREEDYDATA}:\s%%{NOTSPACE:syslog_code}: Interface %{DATA:interface},",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
DROP,Interface,Interface down,syslog_code = "LINK-3-UPDOWN" and raw does not contains "changed state to up" and raw contains "Serial",A10402,Info,Open,,"%{GREEDYDATA}:\s%%{NOTSPACE:syslog_code}: Interface %{DATA:interface},",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
KEEP,Interface,Interface up,syslog_code = "LINK-3-UPDOWN" and raw contains "changed state to up",A105,Info,Clear,,"%{GREEDYDATA}:\s%%{NOTSPACE:syslog_code}: Interface %{DATA:interface},",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
KEEP,Interface,Interface down,syslog_code = "LINK-3-UPDOWN" and raw does not contains "changed state to up",A106,Info,Open,,"%{GREEDYDATA}:\s%%{NOTSPACE:syslog_code}: Interface %{DATA:interface},",f'{rda_gw_client_ip}_{interface_name}_{syslog_code}'
KEEP,FanFailure,Fan Failure,syslog_code = "CI-3-BLOWER",A107,Notice,Open,,<%{INT}> %{MONTH} +%{MONTHDAY} +%{TIME} %%{NOTSPACE:syslog_code}:,f'{rda_gw_client_ip}_{syslog_code}'
