schema,KPI_Label,Formula,KPI_Name,Properties_Key,report_name,Schema_Original,Description
apn,APN Accounting Requests Sent To AAA On Ga Interface,(%acc-req-sent%),kpi_APN_Accounting_Requests_Sent_To_AAA_On_Ga_Interface,wrnApnAccountingStats,StarOS APN Accounting Statistics,APN,APN Accounting Requests Sent To AAA On Ga Interface
apn,APN Accounting Response Received From AAA On Ga Interface,(%acc-rsp-rcvd%),kpi_APN_Accounting_Response_Received_From_AAA_On_Ga_Interface,wrnApnAccountingStats,StarOS APN Accounting Statistics,APN,APN Accounting Response Received From AAA On Ga Interface
apn,APN Accounting Requests Timed Out,(%acc-req-timeout%),kpi_APN_Accounting_Requests_Timed_Out,wrnApnAccountingStats,StarOS APN Accounting Statistics,APN,APN Accounting Requests Timed Out
apn,APN Authentication Requests Sent To AAA On Ga Interface,(%auth-req-sent%),kpi_APN_Authentication_Requests_Sent_To_AAA_On_Ga_Interface,wrnApnAggAuthentication,StarOS APN Aggregate Authentication Statistics,APN,APN Authentication Requests Sent To AAA On Ga Interface
apn,APN Authentication Accept Received From AAA On Ga Interface,(%auth-acc-rcvd%),kpi_APN_Authentication_Accept_Received_From_AAA_On_Ga_Interface,wrnApnAggAuthentication,StarOS APN Aggregate Authentication Statistics,APN,APN Authentication Accept Received From AAA On Ga Interface
apn,APN Authentication Requests Timed Out,(%auth-timeout%),kpi_APN_Authentication_Requests_Timed_Out,wrnApnAggAuthentication,StarOS APN Aggregate Authentication Statistics,APN,APN Authentication Requests Timed Out
apn,APN Internet/PDN On Gi Interface Packets With Background QOS Sent,(%qosback-pkts-uplnk%),kpi_APN_Internet_PDN_On_Gi_Interface_Packets_With_Background_QOS_Sent,wrnApnAggBackgroundQos,StarOS APN Aggregate Background QOS Sent Statistics,APN,APN Internet/PDN On Gi Interface Packets With Background QOS Sent
apn,APN MS On GTP Interface Packets With Background QOS Sent,(%qosback-pkts-dnlnk%),kpi_APN_MS_On_GTP_Interface_Packets_With_Background_QOS_Sent,wrnApnAggBackgroundQos,StarOS APN Aggregate Background QOS Sent Statistics,APN,APN MS On GTP Interface Packets With Background QOS Sent
apn,APN Total Number of Active Default Bearers,(%act-defbear%),kpi_APN_Total_Number_of_Active_Default_Bearers,wrnApnAggBearersStats,StarOS APN Aggregate Bearers Statistics,APN,APN Total Number of Active Default Bearers
apn,APN Total Number of Active Dedicated Bearers,(%act-dedbear%),kpi_APN_Total_Number_of_Active_Dedicated_Bearers,wrnApnAggBearersStats,StarOS APN Aggregate Bearers Statistics,APN,APN Total Number of Active Dedicated Bearers
