report_name_key,report_name,schema
StarOS_PGW_UE_Modification_Failure_Session_Statistics,StarOS PGW UE Modification Failure Session Statistics,pgw
StarOS_PGW_NW_Modification_Failure_Session_Statistics,StarOS PGW N/W Modification Failure Session Statistics,pgw
StarOS_PGW_Modified_Session_Statistics,StarOS PGW Modified Session Statistics,pgw
StarOS_KPI_PGW_LTE_Throughput_per_User_UL,StarOS KPI PGW LTE Throughput per User UL,apn
StarOS_KPI_PGW_LTE_Throughput_per_User_DL,StarOS KPI PGW LTE Throughput per User DL,apn
StarOS_KPI_PGW_EPS_Bearers_Modification_Failures_UE,StarOS KPI PGW EPS Bearers Modification Failures - UE,pgw
StarOS_KPI_PGW_EPS_Bearers_Modification_Failures_NW_Error,StarOS KPI PGW EPS Bearers Modification Failures - NW Error,pgw
StarOS_KPI_PGW_EPS_Bearers_Modification_Failures_Network,StarOS KPI PGW EPS Bearers Modification Failures - Network,pgw
StarOS_KPI_PGW_EPS_Bearers_Modification_Distribution,StarOS KPI PGW EPS Bearers Modification - Distribution,pgw
StarOS_KPI_PGW_APN_IP_Address_Allocation_Method_Distribution,StarOS KPI PGW APN IP Address Allocation Method Distribution,apn
StarOS_KPI_PGW_APN_Current_Number_Of_Sessions_System,StarOS KPI PGW APN Current Number Of Sessions - System,apn
StarOS_KPI_GGSN_Uplink_Packets_Total_Number,StarOS KPI GGSN Uplink Packets Total Number,apn
StarOS_KPI_GGSN_Uplink_Packets_Dropped_Total_Number,StarOS KPI GGSN Uplink Packets Dropped Total Number,apn
StarOS_KPI_GGSN_Uplink_Bytes_Total_Number,StarOS KPI GGSN Uplink Bytes Total Number,apn
StarOS_KPI_GGSN_Uplink_Bytes_Dropped_Total_Number,StarOS KPI GGSN Uplink Bytes Dropped Total Number,apn
StarOS_KPI_GGSN_Received_Packets_Dropped_due_to_Bad_Header_Total_Number,StarOS KPI GGSN Received Packets Dropped due to Bad Header Total Number,apn
StarOS_KPI_GGSN_PDP_Context_Total_Number,StarOS KPI GGSN PDP Context Total Number,apn
StarOS_KPI_GGSN_PDP_Context_Current_Number,StarOS KPI GGSN PDP Context Current Number,apn
StarOS_KPI_GGSN_PDP_Context_Activation_Success_Rate_Per_APN,StarOS KPI GGSN PDP Context Activation Success Rate Per APN,apn
StarOS_KPI_GGSN_Outbound_Packets_Dropped_due_to_ACL_Filtering_Total_Number,StarOS KPI GGSN Outbound Packets Dropped due to ACL Filtering Total Number,apn
StarOS_KPI_GGSN_Inbound_Packets_Dropped_due_to_ACL_Filtering_Total_Number,StarOS KPI GGSN Inbound Packets Dropped due to ACL Filtering Total Number,apn
StarOS_KPI_GGSN_Dynamic_IPv4_PDP_Context_Activation_Total_Number,StarOS KPI GGSN Dynamic IPv4 PDP Context Activation Total Number,apn
StarOS_KPI_GGSN_Downlink_Packets_Total_Number,StarOS KPI GGSN Downlink Packets Total Number,apn
StarOS_KPI_GGSN_Downlink_Packets_Dropped_Total_Number,StarOS KPI GGSN Downlink Packets Dropped Total Number,apn
StarOS_KPI_GGSN_Downlink_Bytes_Total_Number,StarOS KPI GGSN Downlink Bytes Total Number,apn
StarOS_KPI_GGSN_Downlink_Bytes_Dropped_Total_Number,StarOS KPI GGSN Downlink Bytes Dropped Total Number,apn
StarOS_KPI_GGSN_CPC_Request_Total_Number,StarOS KPI GGSN CPC Request Total Number,apn
StarOS_KPI_DHCP_Success_Rate_Percentage,StarOS KPI DHCP Success Rate Percentage,system
StarOS_KPI_CPU_Memory_Usage_Percentage_Last_5_Mins_Peak_ASR5500_v21,StarOS KPI CPU Memory Usage Percentage Last 5 Mins Peak ASR5500_v21,card
StarOS_KPI_CPU_Memory_Usage_Percentage_Last_5_Mins_Peak_ASR5500,StarOS KPI CPU Memory Usage Percentage Last 5 Mins Peak ASR5500,card
StarOS_KPI_CPU_Memory_Usage_Percentage_Last_5_Mins_Average_ASR5500_v21,StarOS KPI CPU Memory Usage Percentage Last 5 Mins Average ASR5500_v21,card
StarOS_KPI_CPU_Memory_Usage_Percentage_Last_5_Mins_Average_ASR5500,StarOS KPI CPU Memory Usage Percentage Last 5 Mins Average ASR5500,card
StarOS_KPI_CPU_Memory_Usage_Percentage_ASR5500_v21,StarOS KPI CPU Memory Usage Percentage ASR5500_v21,card
StarOS_KPI_CPU_Memory_Usage_Percentage_ASR5500,StarOS KPI CPU Memory Usage Percentage ASR5500,card
StarOS_KPI_CPU_Load_Busy_Percentage_Last_5_Mins_Peak_ASR5500_v21,StarOS KPI CPU Load Busy Percentage Last 5 Mins Peak ASR5500_v21,card
StarOS_KPI_CPU_Load_Busy_Percentage_Last_5_Mins_Peak_ASR5500,StarOS KPI CPU Load Busy Percentage Last 5 Mins Peak ASR5500,card
StarOS_KPI_CPU_Load_Busy_Percentage_Last_5_Mins_Average_ASR5500_v21,StarOS KPI CPU Load Busy Percentage Last 5 Mins Average ASR5500_v21,card
StarOS_KPI_CPU_Load_Busy_Percentage_Last_5_Mins_Average_ASR5500,StarOS KPI CPU Load Busy Percentage Last 5 Mins Average ASR5500,card
StarOS_KPI_CPU_Load_Busy_Percentage_ASR5500_v21,StarOS KPI CPU Load Busy Percentage ASR5500_v21,card
StarOS_KPI_CPU_Load_Busy_Percentage_ASR5500,StarOS KPI CPU Load Busy Percentage ASR5500,card
StarOS_KPI_Card_Average_CPU_Utilization_Link_Mgr_ASR5500,StarOS KPI Card Average CPU Utilization - Link Mgr ASR5500,card
StarOS_KPI_Card_Average_CPU_Utilization_Imsi_Mgr_ASR5500,StarOS KPI Card Average CPU Utilization - Imsi Mgr ASR5500,card
StarOS_KPI_Bearer_Modification_Success_Rate,StarOS KPI Bearer Modification Success Rate,pgw
StarOS_KPI_APN_Total_Number_of_Modified_Bearers_UE_Initiated,StarOS KPI APN Total Number of Modified Bearers - UE Initiated,apn
StarOS_KPI_APN_Total_Number_of_Modified_Bearers_Network_Initiated,StarOS KPI APN Total Number of Modified Bearers - Network Initiated,apn
