counter_type,data_type,is_key,schema,variable
Info,Int32,No,common,%uptime%
Info,String,No,common,%host%
Info,String,No,common,%ipaddr%
Info,String,No,common,%date%
Info,String,No,common,%date3%
Info,String,No,common,%time%
Info,String,No,common,%time2%
Info,String,No,common,%time3%
Info,Int32,No,common,%epochtime%
Info,String,No,common,%schemas%
Info,String,No,common,%schema-delta%
Info,String,No,common,%localdate%
Info,String,No,common,%localdate3%
Info,String,No,common,%localtime%
Info,String,No,common,%localtime2%
Info,String,No,common,%localtime3%
Info,String,No,common,%localtz%
Info,String,No,common,%localtzoffset%
Info,String,No,common,%swbuild%
Info,String,No,common,%version-no%
Info,Int32,Yes,card,%card%
Gauge,Float,No,card,%cpubusy%
Gauge,Float,No,card,%cpuidle%
Counter,Int32,No,card,%numproc%
Gauge,Int32,No,card,%memused%
Gauge,Int32,No,card,%memtotal%
Gauge,Int32,No,card,%numcpu%
Gauge,Float,No,card,%cpu0-cpubusy%
Gauge,Float,No,card,%cpu0-cpuidle%
Counter,Int32,No,card,%cpu0-numproc%
Gauge,Int32,No,card,%cpu0-memused%
Gauge,Int32,No,card,%cpu0-memtotal%
Gauge,String,No,card,%cpu0-name%
Gauge,Float,No,card,%cpu0-cpuused-user%
Gauge,Float,No,card,%cpu0-cpuused-sys%
Gauge,Float,No,card,%cpu0-cpuused-io%
Gauge,Float,No,card,%cpu0-cpuused-irq%
Gauge,Float,No,card,%cpu0-cpuused-idle%
Gauge,Float,No,card,%cpu1-cpubusy%
Gauge,Float,No,card,%cpu1-cpuidle%
Counter,Int32,No,card,%cpu1-numproc%
Gauge,Int32,No,card,%cpu1-memused%
Gauge,Int32,No,card,%cpu1-memtotal%
Gauge,String,No,card,%cpu1-name%
Gauge,Float,No,card,%cpu1-cpuused-user%
Gauge,Float,No,card,%cpu1-cpuused-sys%
Gauge,Float,No,card,%cpu1-cpuused-io%
Gauge,Float,No,card,%cpu1-cpuused-irq%
Gauge,Float,No,card,%cpu1-cpuused-idle%
Gauge,Float,No,card,%cpu2-cpubusy%
Gauge,Float,No,card,%cpu2-cpuidle%
Counter,Int32,No,card,%cpu2-numproc%
Gauge,Int32,No,card,%cpu2-memused%
Gauge,Int32,No,card,%cpu2-memtotal%
Gauge,String,No,card,%cpu2-name%
Gauge,Float,No,card,%cpu2-cpuused-user%
Gauge,Float,No,card,%cpu2-cpuused-sys%
Gauge,Float,No,card,%cpu2-cpuused-io%
Gauge,Float,No,card,%cpu2-cpuused-irq%
Gauge,Float,No,card,%cpu2-cpuused-idle%
Gauge,Float,No,card,%cpu3-cpubusy%
Gauge,Float,No,card,%cpu3-cpuidle%
Counter,Int32,No,card,%cpu3-numproc%
Gauge,Int32,No,card,%cpu3-memused%
Gauge,Int32,No,card,%cpu3-memtotal%
Gauge,String,No,card,%cpu3-name%
Gauge,Float,No,card,%cpu3-cpuused-user%
Gauge,Float,No,card,%cpu3-cpuused-sys%
