sourceRef,type,enable,defaultValue,model
discovered,TEXT,True,Not Available,cdp_model
target_ip,TEXT,True,Not Available,cdp_model
asset_object,TEXT,True,Not Available,cdp_model
bucket_id,TEXT,True,Not Available,cdp_model
switch_unique_id,TEXT,True,Not Available,cdp_model
parent_identifier,TEXT,True,Not Available,cdp_model
first_seen,DATETIME,True,Not Available,cdp_model
last_seen,DATETIME,True,Not Available,cdp_model
__state_updated_time,DATETIME,True,Not Available,cdp_model
asset_mode,TEXT,True,Not Available,cdp_model
unique_id,TEXT,True,Not Available,cdp_model
hostname,TEXT,True,Not Available,cdp_model
ip_address,TEXT,True,Not Available,cdp_model
serial_number,TEXT,True,Not Available,cdp_model
local_interface,TEXT,True,Not Available,cdp_model
remote_unique_id,TEXT,True,Not Available,cdp_model
remote_device_ip,TEXT,True,Not Available,cdp_model
remote_serial_number,TEXT,True,Not Available,cdp_model
remote_device_int_name,TEXT,True,Not Available,cdp_model
remote_device_id,TEXT,True,Not Available,cdp_model
local_device_id,TEXT,True,Not Available,cdp_model
remote_device_model,TEXT,True,Not Available,cdp_model
product_id,TEXT,True,Not Available,cdp_model
device_model,TEXT,True,Missing Device Model,cdp_model
sw_type,TEXT,True,Not Available,cdp_model
product_name,TEXT,True,Not Available,cdp_model
parent_serial_number,TEXT,True,Not Available,cdp_model
sw_version,TEXT,True,Not Available,cdp_model
product_family,TEXT,True,Not Available,cdp_model
asset_status,TEXT,True,Not Available,cdp_model
source_filename,TEXT,True,Not Available,cdp_model
dns_name,TEXT,True,Not Available,cdp_model
last_updated_time,DATETIME,True,Not Available,cdp_model
source,TEXT,True,Not Available,cdp_model
bucket_id,TEXT,True,Not Available,interface_model
unique_id,TEXT,True,Not Available,interface_model
ip_address,TEXT,True,Not Available,interface_model
parent_serial_number,TEXT,True,Not Available,interface_model
dns_name,TEXT,True,Not Available,interface_model
poe_admin_status,TEXT,True,Not Available,interface_model
poe_oper_status,TEXT,True,Not Available,interface_model
poe_power_watts,TEXT,True,Not Available,interface_model
poe_device,TEXT,True,Not Available,interface_model
poe_class,TEXT,True,Not Available,interface_model
poe_max_power_watts,TEXT,True,Not Available,interface_model
interface_name,TEXT,True,Not Available,interface_model
interface_type,TEXT,True,Not Available,interface_model
interface_description,TEXT,True,Not Available,interface_model
asset_status,TEXT,True,Not Available,interface_model
parent_serial_number,TEXT,True,Not Available,interface_model
vendor,TEXT,True,Missing Vendor,interface_model
equipment_type,TEXT,True,Missing Equipment Type,interface_model
source_filename,TEXT,True,Not Available,interface_model
interface_alias,TEXT,True,Not Available,interface_model
if_last_change,DOUBLE,True,,interface_model
interface_status,TEXT,True,Not Available,interface_model
interface_admin_status_label,TEXT,True,Not Available,interface_model
interface_oper_status,TEXT,True,Not Available,interface_model
interface_shortname,TEXT,True,Not Available,interface_model
interface_admin_status,TEXT,True,Not Available,interface_model
interface_status_name,TEXT,True,Not Available,interface_model
interface_duplex,TEXT,True,Not Available,interface_model
interface_status_type,TEXT,True,Not Available,interface_model
interface_vlan,TEXT,True,Not Available,interface_model
interface_speed,TEXT,True,Not Available,interface_model
rc_interface_vlan,TEXT,True,Not Available,interface_model
rc_config_speed,TEXT,True,Not Available,interface_model
rc_port_type,TEXT,True,Not Available,interface_model
rc_other_configs,TEXT,True,Not Available,interface_model
rc_config_duplex,TEXT,True,Not Available,interface_model
rc_channel_group,TEXT,True,Not Available,interface_model
rc_config_vlan,TEXT,True,Not Available,interface_model
interface_oper_status_label,TEXT,True,Not Available,interface_model
if_change_since,DATETIME,True,Not Available,interface_model
