Unnamed: 0.1,right_node_type,pathStatusCount_standby,pathStatusCount_unknown,description,edge_id,scoreAfterVideo,deviceLogicalId,relation_type,source,source_ip,peerName,collection_timestamp,scoreAfterVoice,edgeName,edge_role,customerId,right_label,pathStatusCount_stable,peerType,left_id,peerHAType,pathStatusCount_unstable,pathStatusCount_total,left_node_type,link_type,edgeLogicalId,timestamp,_RDA_Id,pathQoe,count_,pathStatusCount_dead,right_id,modelNumber,customerTag,edge_ip,projectId,left_label,scoreAfterTrans,customeTag,__uuid
0,HUB,0.0,0.0,"#1158#  707 Wall Street Complex Melbourne India #3853#
222.13.57.155",GBOMNGLONGB24PVCE01_SHA#ITOMNGMILIT10VCE01,10.0,49f04271-f334-4151-b1c0-4564b3c05a11,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGLONGB24PVCE01_SHA,2024-04-10T08:18:13.391270,10.0,ACMEORGMILIT10VCE01,BRANCH,12ca77c142964b95a213079835b29f60,ACMEORGLONGB24PVCE01_SHA,2.0,HUB,ACMEORGMILIT10VCE01,ACTIVE_STANDBY,0.0,2.0,Edge,BRANCH-TO-HUB,75ec1fad-7a5d-46f0-8501-4d17d54e431b,2024-09-04T05:21:01.976039,1743138029053000012ebe05cc,10.0,1,0.0,ACMEORGLONGB24PVCE01_SHA,edge680,DemoCustomer-1,10.10.41.20,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGMILIT10VCE01,10.0,,f56c1898-7582-4d9f-a057-816631863169
1,BRANCH,0.0,0.0,"#3035#  388 Shinjuku Avenue Paris Germany #2915#
3.228.222.135
162.252.101.208
61015 - 4632",FROMNGBIAFR01PVCE01#USOMNGASHVA01PVCE01_SHA,5.0,899ce443-a1f3-44bc-af53-eef02d7af80d,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGBIAFR01PVCE01,2024-04-10T08:18:13.501305,5.0,ACMEORGASHVA01PVCE01_SHA,HUB,12ca77c142964b95a213079835b29f60,ACMEORGBIAFR01PVCE01,2.0,BRANCH,ACMEORGASHVA01PVCE01_SHA,,0.0,2.0,Edge,HUB-TO-BRANCH,252d972b-e8dd-4f0e-8458-e8203a3d67a3,2024-09-04T05:21:01.975868,1743138029053000072ebe05cc,5.833333333,1,0.0,ACMEORGBIAFR01PVCE01,edge3800,DemoCustomer-1,10.10.147.94,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGASHVA01PVCE01_SHA,7.5,,c110326e-3613-4c69-af76-351e1e1d0840
2,BRANCH,0.0,0.0,"#2754#  317 Highland Avenue Mumbai Portugal #3494#
204.163.85.20",BROMNGTAOSP2VVCE01_SHA#INOMNGGURIN05PVCE01_EHA,0.0,25158dc7-a59c-448d-82bd-8e329d52c38b,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGGURIN05PVCE01_EHA,2024-04-10T08:18:13.257920,0.0,ACMEORGTAOSP2VVCE01_SHA,HUB,12ca77c142964b95a213079835b29f60,ACMEORGGURIN05PVCE01_EHA,4.0,BRANCH,ACMEORGTAOSP2VVCE01_SHA,ACTIVE_STANDBY,0.0,4.0,Edge,HUB-TO-BRANCH,4712b401-1caa-499e-b691-20b402f2f5f8,2024-09-04T05:21:01.975694,1743138029053000062ebe05cc,0.0,1,0.0,ACMEORGGURIN05PVCE01_EHA,kvm,DemoCustomer-1,10.10.196.62,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGTAOSP2VVCE01_SHA,0.0,,49c943a6-3fa2-4041-b5e7-c9ebe40edb2b
3,BRANCH,0.0,0.0,"#1409#  43 Oxford Street Court Stockholm New Zealand #2652#
7.145.247.14
187.51.240.5",GBOMNGTAOGB01VVCE01_SHA#SEOMNGSTOSW06PVCE01,10.0,f2a2da10-7580-46e6-b3c1-cf04deb13997,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGSTOSW06PVCE01,2024-04-10T08:18:13.460972,10.0,ACMEORGTAOGB01VVCE01_SHA,HUB,12ca77c142964b95a213079835b29f60,ACMEORGSTOSW06PVCE01,0.0,BRANCH,ACMEORGTAOGB01VVCE01_SHA,,0.0,2.0,Edge,HUB-TO-BRANCH,8d75a21a-a578-4165-91e9-2c4ca34d5434,2024-09-04T05:21:01.975513,1743138029053000052ebe05cc,10.0,1,2.0,ACMEORGSTOSW06PVCE01,kvm,DemoCustomer-1,10.10.95.179,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGTAOGB01VVCE01_SHA,10.0,,14c9ea92-8014-4fda-91af-8178c7be867d
4,HUB,0.0,0.0,"#3897#  311 Cedar Lane Geneva Denmark #1016#
212.129.119.247
183.56.12.225",INOMNGKOLIN04VCE01_EHA#USOMNGASHVA01PVCE01_SHA,0.0,252d972b-e8dd-4f0e-8458-e8203a3d67a3,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGASHVA01PVCE01_SHA,2024-04-10T08:18:13.579592,0.0,ACMEORGKOLIN04VCE01_EHA,BRANCH,12ca77c142964b95a213079835b29f60,ACMEORGASHVA01PVCE01_SHA,4.0,HUB,ACMEORGKOLIN04VCE01_EHA,ACTIVE_STANDBY,0.0,4.0,Edge,BRANCH-TO-HUB,bc443782-e129-4b41-abc3-5da4db674d52,2024-09-04T05:21:01.975345,1743138029053000042ebe05cc,0.0,1,0.0,ACMEORGASHVA01PVCE01_SHA,edge620,DemoCustomer-1,10.10.24.224,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGKOLIN04VCE01_EHA,0.0,,37b9b30a-63ab-4a73-9b45-7e47da9e76d5
5,BRANCH,0.0,0.0,"#2297#  249 Maple Avenue Corporate Center Melbourne South Korea #1134#
192.82.57.203
62786 - 1133",GBOMNGTAOGB01VVCE01_SHA#MXOMNGMXMXC02PVCE01_EHA,2.5,b95a9335-77a7-4be5-9567-6d777458a27e,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGMXMXC02PVCE01_EHA,2024-04-10T08:18:13.164680,2.5,ACMEORGTAOGB01VVCE01_SHA,HUB,12ca77c142964b95a213079835b29f60,ACMEORGMXMXC02PVCE01_EHA,4.0,BRANCH,ACMEORGTAOGB01VVCE01_SHA,ACTIVE_STANDBY,0.0,4.0,Edge,HUB-TO-BRANCH,8d75a21a-a578-4165-91e9-2c4ca34d5434,2024-09-04T05:21:01.975172,1743138029053000032ebe05cc,3.333333333,1,0.0,ACMEORGMXMXC02PVCE01_EHA,kvm,DemoCustomer-1,10.10.95.179,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGTAOGB01VVCE01_SHA,5.0,,459aa564-cddb-4ad1-8fb9-5113643cd620
6,HUB,0.0,0.0,"#361#  TAO Node: TYO5
TAO vNF hostname: JPOMNITYO5-003VCE
TAO Compute Server: JPOMNITYO5-014CMP

TAO Node: TYO5
TAO vNF hostname: JPOMNITYO5-002VCE
TAO Compute Server: JPOMNITYO5-018CMP
6.16.33.58 186.46.95.75",NLOMNGTAONE01VVCE01_SHA#SGOMNGSINSG06VCE01_EHA,1.25,dac905c9-efc9-4925-a508-477e77309d29,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGTAONE01VVCE01_SHA,2024-04-10T08:18:13.390491,1.25,ACMEORGSINSG06VCE01_EHA,BRANCH,12ca77c142964b95a213079835b29f60,ACMEORGTAONE01VVCE01_SHA,4.0,HUB,ACMEORGSINSG06VCE01_EHA,ACTIVE_STANDBY,0.0,4.0,Edge,BRANCH-TO-HUB,a7157f34-5a9d-4e0c-8e09-06931bd5c303,2024-09-04T05:21:01.975001,1743138029053000022ebe05cc,1.25,1,0.0,ACMEORGTAONE01VVCE01_SHA,edge3800,DemoCustomer-1,10.10.74.107,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGSINSG06VCE01_EHA,1.25,,961c3811-acdb-4d01-a2d0-5cddc6a94036
7,HUB,0.0,0.0,"#340#  TAO Node: MIA1
TAO vNF hostname: USOMNIMIA1-004VCE
TAO Compute Server: USOMNIMIA1-019CMP

TAO Node: MIA1
TAO vNF hostname: USOMNIMIA1-002VCE
TAO Compute Server: USOMNIMIA1-013CMP
103.56.152.178 8.141.42.71",ITOMNGMILIT09PVCE01_EHA#NLOMNGTAONE01VVCE01_SHA,9.125,dac905c9-efc9-4925-a508-477e77309d29,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGTAONE01VVCE01_SHA,2024-04-10T08:18:13.380647,9.125,ACMEORGMILIT09PVCE01_EHA,BRANCH,12ca77c142964b95a213079835b29f60,ACMEORGTAONE01VVCE01_SHA,4.0,HUB,ACMEORGMILIT09PVCE01_EHA,ACTIVE_STANDBY,0.0,4.0,Edge,BRANCH-TO-HUB,c38daa74-38d3-4521-b9bc-2d3baa58198e,2024-09-04T05:21:01.974827,1743138029053000122ebe05cc,9.416666667,1,0.0,ACMEORGTAONE01VVCE01_SHA,edge680,DemoCustomer-1,10.10.120.22,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGMILIT09PVCE01_EHA,10.0,,28f8486d-6e0d-4af2-abdc-66889059bfe6
8,BRANCH,0.0,0.0,"#1692#  562 Rue de Rivoli Plaza Vienna Switzerland #2355#
210.77.87.90
1.17.187.43",AUOMNGTAOAU01VVCE02_SHA#DEOMNGBERGE02PVCE01_SHA,0.601851861,4853d42e-ce47-40cb-bf88-a891d04862ec,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGBERGE02PVCE01_SHA,2024-04-10T08:18:13.211320,0.601851861,ACMEORGTAOAU01VVCE02_SHA,HUB,12ca77c142964b95a213079835b29f60,ACMEORGBERGE02PVCE01_SHA,4.0,BRANCH,ACMEORGTAOAU01VVCE02_SHA,ACTIVE_STANDBY,0.0,4.0,Edge,HUB-TO-BRANCH,fd0a0f66-0a27-4a12-90e1-8405cec50e09,2024-09-04T05:21:01.974656,1743138029053000112ebe05cc,0.601851861,1,0.0,ACMEORGBERGE02PVCE01_SHA,kvm,DemoCustomer-1,10.10.146.51,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGTAOAU01VVCE02_SHA,0.601851861,,d555189f-ceb6-4401-a79b-060532cdbe27
9,BRANCH,0.0,0.0,"#1825#  768 Broadway Dubai UK #1973#
119.73.150.43
1.75.126.20
5.179.55.68",FROMNGVLLFR02PVCE01#SGOMNGTAOSG01VVCE01_SHA,2.188208631,7e81a13c-c063-4f58-a545-daff650168f5,connected-to,sdwan_peer,nw101-tsmdy.cloudnetwork.net,ACMEORGVLLFR02PVCE01,2024-04-10T08:18:13.566416,2.188208631,ACMEORGTAOSG01VVCE01_SHA,HUB,12ca77c142964b95a213079835b29f60,ACMEORGVLLFR02PVCE01,0.0,BRANCH,ACMEORGTAOSG01VVCE01_SHA,,0.0,2.0,Edge,HUB-TO-BRANCH,bbeb9475-93c0-4251-85ca-7ad577a5c7c8,2024-09-04T05:21:01.974484,1743138029053000102ebe05cc,2.188208631,1,2.0,ACMEORGVLLFR02PVCE01,kvm,DemoCustomer-1,10.10.89.183,1b54a440-bfbd-11ef-be99-0242ac120006,ACMEORGTAOSG01VVCE01_SHA,2.188208631,,2139ba40-5e0b-4ded-a4ed-73c40911cce3
