additive_terms,additive_terms_lower,additive_terms_upper,anomalies_type,daily,daily_lower,daily_upper,is_anomaly,is_outlier,is_predicted_anomaly,is_predicted_outlier,lowerBound,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,predicted,predicted_anomalies_type,trend,trend_lower,trend_upper,upperBound,weekly,weekly_lower,weekly_upper,accuracy,anomalies_count,anomalies_percent,timestamp,seasonality,overall_trend,_RDA_Id,job_name,status,reason,count_,anomalies,anomalies_severity,anomaly_score,cluster,all-baseline,value,baseline,__uuid
-32288.84057333357,-32288.84057333357,-32288.84057333357,0,16602.19249528171,16602.19249528171,16602.19249528171,No,No,No,No,15707717.004275553,0.0,0.0,0.0,17020854.08,0,17053142.921479512,17053142.867207233,17053142.976314228,18185261.101015296,-48891.03306861529,-48891.03306861529,-48891.03306861529,67.98,56,15.51,2022-04-27T12:00:00,"Daily, Weekly",Decreasing,174158378235400001b24ce450,default,Success,,1,,,,,,,,2afe77d5-945f-4daf-bb80-1feab97cb3ff
220503.7195212925,220503.7195212925,220503.7195212925,0,159272.95071724517,159272.95071724517,159272.95071724517,No,No,No,No,16058902.49966702,0.0,0.0,0.0,17275129.93,0,17054626.206384093,17054626.153811052,17054626.259382308,18456107.99535692,61230.76880404739,61230.76880404739,61230.76880404739,67.98,56,15.51,2022-04-27T08:00:00,"Daily, Weekly",Decreasing,174158378235400002b24ce450,default,Success,,1,,,,,,,,6b82a94e-46b1-4e9e-8558-43f3c796e200
59725.7221659191,59725.7221659191,59725.7221659191,0,-105169.03408636188,-105169.03408636188,-105169.03408636188,No,No,No,No,15981765.27572296,0.0,0.0,0.0,17115835.21,0,17056109.491288677,17056109.441202976,17056109.542012114,18346834.044749912,164894.75625228096,164894.75625228096,164894.75625228096,67.98,56,15.51,2022-04-27T04:00:00,"Daily, Weekly",Decreasing,174158378235400003b24ce450,default,Success,,1,,,,,,,,67791e6b-ac7a-452f-b5ca-1a0aa9dba2f7
-50464.36989718348,-50464.36989718348,-50464.36989718348,0,-296692.9265045964,-296692.9265045964,-296692.9265045964,No,No,No,No,15673420.590716122,0.0,0.0,0.0,17007128.41,0,17057592.77619326,17057592.728846323,17057592.825090736,18212938.47401824,246228.55660741293,246228.55660741293,246228.55660741293,67.98,56,15.51,2022-04-27T00:00:00,"Daily, Weekly",Decreasing,174158378235400004b24ce450,default,Success,,1,,,,,,,,5de96ac3-abd7-41ce-bb3c-3af1861d55ca
443481.6930490111,443481.6930490111,443481.6930490111,0,150498.70585713757,150498.70585713757,150498.70585713757,No,No,No,No,16313210.52945818,0.0,0.0,0.0,17502557.75,0,17059076.061097845,17059076.01595543,17059076.108477846,18824346.991033968,292982.9871918735,292982.9871918735,292982.9871918735,67.98,56,15.51,2022-04-26T20:00:00,"Daily, Weekly",Decreasing,174158378235400005b24ce450,default,Success,,1,,,,,,,,8f6b4481-86ca-488e-b043-de70d2e4e74a
374004.6416527879,374004.6416527879,374004.6416527879,0,75488.11151420856,75488.11151420856,75488.11151420856,No,No,No,No,16069815.210286211,0.0,0.0,0.0,17434563.99,0,17060559.34600243,17060559.302832115,17060559.39131684,18725952.152566407,298516.53013857943,298516.53013857943,298516.53013857943,67.98,56,15.51,2022-04-26T16:00:00,"Daily, Weekly",Decreasing,174158378235400006b24ce450,default,Success,,1,,,,,,,,ddc689e9-0f91-4c51-be3f-39fdb9cab925
279381.1821054765,279381.1821054765,279381.1821054765,0,16602.192496795185,16602.192496795185,16602.192496795185,No,No,No,No,16088750.022664567,0.0,0.0,0.0,17341423.81,0,17062042.630907014,17062042.589312077,17062042.67385896,18675324.29217882,262778.9896086813,262778.9896086813,262778.9896086813,67.98,56,15.51,2022-04-26T12:00:00,"Daily, Weekly",Decreasing,174158378235400007b24ce450,default,Success,,1,,,,,,,,b83f00e7-a4ab-4830-913a-9fff78f28792
351404.15004732105,351404.15004732105,351404.15004732105,0,159272.95071944842,159272.95071944842,159272.95071944842,No,No,No,No,16113795.151583392,0.0,0.0,0.0,17414930.07,0,17063525.9158116,17063525.87636574,17063525.956634324,18675425.67933861,192131.19932787263,192131.19932787263,192131.19932787263,67.98,56,15.51,2022-04-26T08:00:00,"Daily, Weekly",Decreasing,174158378235400008b24ce450,default,Success,,1,,,,,,,,2b64d14f-9c7f-4e3f-8010-cf6eb7f60d62
-7113.467575911104,-7113.467575911104,-7113.467575911104,0,-105169.03408602958,-105169.03408602958,-105169.03408602958,No,No,No,No,15779948.69933602,0.0,0.0,0.0,17057895.73,0,17065009.200716183,17065009.16255755,17065009.239509568,18303896.715399086,98055.56651011849,98055.56651011849,98055.56651011849,67.98,56,15.51,2022-04-26T04:00:00,"Daily, Weekly",Decreasing,174158378235400009b24ce450,default,Success,,1,,,,,,,,dd5d7d36-8e82-44fd-a5fa-b907ad5fd9a4
-301675.36481286824,-301675.36481286824,-301675.36481286824,0,-296692.92650480435,-296692.92650480435,-296692.92650480435,No,No,No,No,15528618.407927088,0.0,0.0,0.0,16764817.12,0,17066492.485620767,17066492.449164476,17066492.52250827,18016466.055923045,-4982.438308063889,-4982.438308063889,-4982.438308063889,67.98,56,15.51,2022-04-26T00:00:00,"Daily, Weekly",Decreasing,174158378235400010b24ce450,default,Success,,1,,,,,,,,5d60d8c5-bd13-420b-9ced-ddd4e138c046
48390.30981365969,48390.30981365969,48390.30981365969,0,150498.70585743972,150498.70585743972,150498.70585743972,No,No,No,No,15844575.037862856,0.0,0.0,0.0,17116366.08,0,17067975.77052535,17067975.735795602,17067975.805791285,18284717.33922764,-102108.39604378006,-102108.39604378006,-102108.39604378006,67.98,56,15.51,2022-04-25T20:00:00,"Daily, Weekly",Decreasing,174158378235400011b24ce450,default,Success,,1,,,,,,,,28f2492c-e465-4042-8673-9918f3093107
-105074.7917927409,-105074.7917927409,-105074.7917927409,0,75488.11151534016,75488.11151534016,75488.11151534016,No,No,No,No,15667579.747823255,0.0,0.0,0.0,16964384.26,0,17069459.055429935,17069459.022675455,17069459.089226194,18181853.701415576,-180562.90330808103,-180562.90330808103,-180562.90330808103,67.98,56,15.51,2022-04-25T16:00:00,"Daily, Weekly",Decreasing,174158378235400012b24ce450,default,Success,,1,,,,,,,,941a2361-1297-418b-81a2-a8fc14561302
-215109.24232537905,-215109.24232537905,-215109.24232537905,0,16602.1924961607,16602.1924961607,16602.1924961607,No,No,No,No,15579462.833582254,0.0,0.0,0.0,16855833.1,0,17070942.34033452,17070942.30909968,17070942.372441806,18003806.07420687,-231711.43482153976,-231711.43482153976,-231711.43482153976,67.98,56,15.51,2022-04-25T12:00:00,"Daily, Weekly",Decreasing,174158378235400013b24ce450,default,Success,,1,,,,,,,,7a9e3eae-bbd1-466c-8cad-3a7d5df62a16
-92913.73763777342,-92913.73763777342,-92913.73763777342,0,159272.95071852475,159272.95071852475,159272.95071852475,No,No,No,No,15659140.578165011,0.0,0.0,0.0,16979511.89,0,17072425.625239104,17072425.59560502,17072425.65572754,18200124.162947647,-252186.68835629817,-252186.68835629817,-252186.68835629817,67.98,56,15.51,2022-04-25T08:00:00,"Daily, Weekly",Decreasing,174158378235400014b24ce450,default,Success,,1,,,,,,,,25049ad5-2460-490b-8d49-0d4cfb8755ec
-349155.6251250511,-349155.6251250511,-349155.6251250511,0,-105169.0340868222,-105169.0340868222,-105169.0340868222,No,No,No,No,15496196.05977124,0.0,0.0,0.0,16724753.29,0,17073908.91014369,17073908.88241998,17073908.939257666,17986113.152711663,-243986.5910382289,-243986.5910382289,-243986.5910382289,67.98,56,15.51,2022-04-25T04:00:00,"Daily, Weekly",Decreasing,174158378235400015b24ce450,default,Success,,1,,,,,,,,ac0e7399-73ba-462d-838a-fcb280892d41
-510251.31875576376,-510251.31875576376,-510251.31875576376,0,-296692.9265043084,-296692.9265043084,-296692.9265043084,No,No,No,No,15288962.867161391,0.0,0.0,0.0,16565140.88,0,17075392.195048273,17075392.169421304,17075392.22235018,17875089.739806257,-213558.3922514554,-213558.3922514554,-213558.3922514554,67.98,56,15.51,2022-04-25T00:00:00,"Daily, Weekly",Decreasing,174158378235400016b24ce450,default,Success,,1,,,,,,,,fabcfee6-8204-41e4-bd82-1f7f8bb4c1bb
-19597.37065334795,-19597.37065334795,-19597.37065334795,0,150498.70585671888,150498.70585671888,150498.70585671888,No,No,No,No,15721750.979346102,0.0,0.0,0.0,17057278.11,0,17076875.479952857,17076875.455901254,17076875.505690545,18256647.808728702,-170096.07651006684,-170096.07651006684,-170096.07651006684,67.98,56,15.51,2022-04-24T20:00:00,"Daily, Weekly",Decreasing,174158378235400017b24ce450,default,Success,,1,,,,,,,,59737171-8e7f-4325-bce2-f38d54ff0a68
-47937.95685128078,-47937.95685128078,-47937.95685128078,0,75488.11151647173,75488.11151647173,75488.11151647173,No,No,No,No,15815901.292821052,0.0,0.0,0.0,17030420.81,0,17078358.76485744,17078358.74230863,17078358.78901614,18307502.96467533,-123426.06836775252,-123426.06836775252,-123426.06836775252,67.98,56,15.51,2022-04-24T16:00:00,"Daily, Weekly",Decreasing,174158378235400018b24ce450,default,Success,,1,,,,,,,,e8badace-a86f-4686-9ab5-90e00032a0d2
-65324.126598891504,-65324.126598891504,-65324.126598891504,0,16602.19249552619,16602.19249552619,16602.19249552619,No,No,No,No,15754524.119500617,0.0,0.0,0.0,17014517.92,0,17079842.049762025,17079842.028018575,17079842.072074402,18255460.508346792,-81926.31909441767,-81926.31909441767,-81926.31909441767,67.98,56,15.51,2022-04-24T12:00:00,"Daily, Weekly",Decreasing,174158378235400019b24ce450,default,Success,,1,,,,,,,,e29be9bd-a6e3-488c-bdb9-79c1408334f7
108369.46881668078,108369.46881668078,108369.46881668078,0,159272.95071760105,159272.95071760105,159272.95071760105,No,No,No,No,15961678.340978635,0.0,0.0,0.0,17189694.8,0,17081325.33466661,17081325.31436012,17081325.355091933,18519752.479695726,-50903.4819009203,-50903.4819009203,-50903.4819009203,67.98,56,15.51,2022-04-24T08:00:00,"Daily, Weekly",Decreasing,174158378235400020b24ce450,default,Success,,1,,,,,,,,328871d5-eb83-443d-a998-317f45873557
-136916.28625028374,-136916.28625028374,-136916.28625028374,0,-105169.03408648988,-105169.03408648988,-105169.03408648988,No,No,No,No,15650899.680567551,0.0,0.0,0.0,16945892.33,0,17082808.619571194,17082808.600495927,17082808.637905434,18268482.233150896,-31747.252163793808,-31747.252163793808,-31747.252163793808,67.98,56,15.51,2022-04-24T04:00:00,"Daily, Weekly",Decreasing,174158378235400021b24ce450,default,Success,,1,,,,,,,,5f4d02e5-c67e-475f-9f29-3392f5b9f5b9
-318705.23645722854,-318705.23645722854,-318705.23645722854,0,-296692.9265045163,-296692.9265045163,-296692.9265045163,No,No,No,No,15483415.650913268,0.0,0.0,0.0,16765586.67,0,17084291.90447578,17084291.887145296,17084291.92131649,18134609.09682243,-22012.309952712283,-22012.309952712283,-22012.309952712283,67.98,56,15.51,2022-04-24T00:00:00,"Daily, Weekly",Decreasing,174158378235400022b24ce450,default,Success,,1,,,,,,,,7162ab26-5ce8-49aa-b0f8-587ef2662d23
134117.34997581964,134117.34997581964,134117.34997581964,0,150498.7058570211,150498.7058570211,150498.7058570211,No,No,No,No,15839926.02642032,0.0,0.0,0.0,17219892.54,0,17085775.18938036,17085775.173566084,17085775.204958793,18445407.019582365,-16381.355881201447,-16381.355881201447,-16381.355881201447,67.98,56,15.51,2022-04-23T20:00:00,"Daily, Weekly",Decreasing,174158378235400023b24ce450,default,Success,,1,,,,,,,,6e54d2a4-cf4d-497d-9183-3f2d5ec3ddc4
67210.45696930116,67210.45696930116,67210.45696930116,0,75488.1115137725,75488.1115137725,75488.1115137725,No,No,No,No,15902558.627596552,0.0,0.0,0.0,17154468.93,0,17087258.474284943,17087258.459920965,17087258.488884736,18416321.353771072,-8277.654544471368,-8277.654544471368,-8277.654544471368,67.98,56,15.51,2022-04-23T16:00:00,"Daily, Weekly",Decreasing,174158378235400024b24ce450,default,Success,,1,,,,,,,,811df0ec-fe7c-4e3c-bd48-202bd49c7547
24842.309595599912,24842.309595599912,24842.309595599912,0,16602.192497039694,16602.192497039694,16602.192497039694,No,No,No,No,15886970.972144429,0.0,0.0,0.0,17113584.07,0,17088741.759189527,17088741.745628092,17088741.772572655,18380328.70717936,8240.117098560218,8240.117098560218,8240.117098560218,67.98,56,15.51,2022-04-23T12:00:00,"Daily, Weekly",Decreasing,174158378235400025b24ce450,default,Success,,1,,,,,,,,71996cfb-65e2-45f4-83fe-bbf3b7835623
195999.55085614108,195999.55085614108,195999.55085614108,0,159272.9507198043,159272.9507198043,159272.9507198043,No,No,No,No,15955903.53302625,0.0,0.0,0.0,17286224.59,0,17090225.04409411,17090225.032186147,17090225.05667455,18564551.69187126,36726.600136336805,36726.600136336805,36726.600136336805,67.98,56,15.51,2022-04-23T08:00:00,"Daily, Weekly",Decreasing,174158378235400026b24ce450,default,Success,,1,,,,,,,,3c2d12b6-bd51-4e2c-a19a-6961fe5cdc14
-28031.20701633152,-28031.20701633152,-28031.20701633152,0,-105169.03408615758,-105169.03408615758,-105169.03408615758,No,No,No,No,15804397.556305729,0.0,0.0,0.0,17063677.12,0,17091708.328998696,17091708.31832504,17091708.340229567,18354653.837693453,77137.8270698261,77137.8270698261,77137.8270698261,67.98,56,15.51,2022-04-23T04:00:00,"Daily, Weekly",Decreasing,174158378235400027b24ce450,default,Success,,1,,,,,,,,2605f087-c115-4c47-8af5-b8b3c87f7096
-171251.3271940776,-171251.3271940776,-171251.3271940776,0,-296692.92650472425,-296692.92650472425,-296692.92650472425,No,No,No,No,15551559.088829886,0.0,0.0,0.0,16921940.29,0,17093191.61390328,17093191.60422018,17093191.62403664,18240254.95645436,125441.5993106466,125441.5993106466,125441.5993106466,67.98,56,15.51,2022-04-23T00:00:00,"Daily, Weekly",Decreasing,174158378235400028b24ce450,default,Success,,1,,,,,,,,1e54a315-9069-4147-92c3-c3e5a29631bc
324659.22415611416,324659.22415611416,324659.22415611416,0,150498.70585732334,150498.70585732334,150498.70585732334,No,No,No,No,16238407.268782446,0.0,0.0,0.0,17419334.12,0,17094674.898807865,17094674.890554715,17094674.90730083,18594980.897687186,174160.51829879085,174160.51829879085,174160.51829879085,67.98,56,15.51,2022-04-22T20:00:00,"Daily, Weekly",Decreasing,174158378235400029b24ce450,default,Success,,1,,,,,,,,0f40bba3-39ac-40dd-8ba4-c584b896ee3e
289248.76478364435,289248.76478364435,289248.76478364435,0,75488.11151490414,75488.11151490414,75488.11151490414,No,No,No,No,16202022.70254976,0.0,0.0,0.0,17385406.95,0,17096158.18371245,17096158.177146576,17096158.191441763,18766998.166123383,213760.6532687402,213760.6532687402,213760.6532687402,67.98,56,15.51,2022-04-22T16:00:00,"Daily, Weekly",Decreasing,174158378235400030b24ce450,default,Success,,1,,,,,,,,16a86058-5e40-41aa-8a50-2c4d5dc6afd9
