device_equip_type,device_eq_description,device_vendor,device_model,device_serial_number,device_ip,device_version_summary,device_mgmt_ip,device_fw_type,device_fw_version,device_contact,device_location,device_hostname,unique_id,device_object,org_id,parent_sn,CLLI_code,collection_timestamp,target,total_eth_ports,up_eth_ports,down_eth_ports,admin_down_eth_ports,device,node_label,node_type,node_id,device_status,timestamp,device_role,_RDA_Id,count_,projectId,customerId,location_locationName,location_longitude,location_latitude,Country,State,City,device_additional_ips,family,Product_Family,product_type,__uuid
Chassis,Nexus5548 Chassis,Cisco Systems,N5K-C5548UP,SSI181901HL,10.95.158.9,"Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 5.2(1)N1(4), RELEASE SOFTWARE Copyright (c) 2002-2011 by Cisco Systems, Inc. Device Manager Version 6.1(1),  Compiled 3/19/2013 3:00:00",10.95.158.9,Cisco NX-OS,5.2(1)N1(4),support-team,CFX-Pleasanton-HQ,N5K-A,10.95.158.9,Chassis,org_id,SSI181901HL,N5K-A,2025-03-21T04:58:46.956672,10.95.158.9,33.0,21.0,12.0,0.0,N5K-A,N5K-A,Chassis,10.95.158.9,MANAGED,2025-03-21T04:58:56.224476,ACCESS,1742533136321000100b9aadaf,1,,,,,,,,,,,,,
Chassis,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,"Cisco IOS Software [Gibraltar], Catalyst L3 Switch Software (CAT3K_CAA-UNIVERSALK9-M), Version 16.12.5prd2, RELEASE SOFTWARE (fc8)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Mon 04-Jan-21",10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83,Chassis,org_id,FDO2106E06M,cisco-ra,2025-03-21T04:58:46.957698,10.95.158.83,53.0,44.0,9.0,0.0,cisco-rack-01,cisco-rack-01,Chassis,10.95.158.83,MANAGED,2025-03-21T04:58:56.224439,ACCESS,1742533136321000090b9aadaf,1,,,,,,,,,,,,,
Chassis,Nexus 56128P Chassis,Cisco Systems,N5K-C56128P,FOC2121R4P2,10.95.158.82,"Cisco NX-OS(tm) n6000, Software (n6000-uk9), Version 7.3(3)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012, 2016-2017 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 4/27/2018 9:00:00",10.95.158.82,Cisco NX-OS,7.3(3)N1(1),who@where,snmplocation,cfx-cisco-rack-02,10.95.158.82,Chassis,org_id,FOC2121R4P2,cfx-cisc,2025-03-21T04:58:46.957491,10.95.158.82,75.0,26.0,49.0,1.0,cfx-cisco-rack-02,cfx-cisco-rack-02,Chassis,10.95.158.82,MANAGED,2025-03-21T04:58:56.224403,ACCESS,1742533136321000080b9aadaf,1,,,,,,,,,,,,,
Chassis,Nexus 56128P Chassis,Cisco Systems,N5K-C56128P,FOC2124R0S6,10.95.158.81,"Cisco NX-OS(tm) n6000, Software (n6000-uk9), Version 7.3(3)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012, 2016-2017 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 4/27/2018 9:00:00",10.95.158.81,Cisco NX-OS,7.3(3)N1(1),ppp,snmplocation,cfx-cisco-rack-01,10.95.158.81,Chassis,org_id,FOC2124R0S6,cfx-cisc,2025-03-21T04:58:46.957055,10.95.158.81,75.0,27.0,48.0,1.0,cfx-cisco-rack-01,cfx-cisco-rack-01,Chassis,10.95.158.81,MANAGED,2025-03-21T04:58:56.224365,ACCESS,1742533136321000070b9aadaf,1,,,,,,,,,,,,,
Chassis,CISCO2951/K9 chassis,Cisco Systems,CISCO2951/K9,FTX1626AMMM,10.95.158.254,"Cisco IOS Software, C2951 Software (C2951-UNIVERSALK9-M), Version 15.1(4)M4, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2012 by Cisco Systems, Inc.
Compiled Tue 20-Mar-12 19:11 by prod_rel_team",10.95.158.254,Cisco IOS,15.1(4)M4,Not Available,Not Available,cfx-isr.engr.cloudfabrix.com,10.95.158.254,Chassis,org_id,FTX1626AMMM,cfx-isr.,2025-03-21T04:58:46.958077,10.95.158.254,4.0,3.0,1.0,1.0,cfx-isr.engr.cloudfabrix.com,cfx-isr.engr.cloudfabrix.com,Chassis,10.95.158.254,MANAGED,2025-03-21T04:58:56.224319,ROUTER,1742533136321000060b9aadaf,1,,,,,,,,,,,,,
Chassis,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,"Cisco IOS Software, C2960S Software (C2960S-UNIVERSALK9-M), Version 15.0(2)SE6, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2014 by Cisco Systems, Inc.
Compiled Wed 09-Apr-14 03:09 by prod_rel_team",10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251,Chassis,org_id,FOC1732W3D2,Rack2-Sw,2025-03-21T04:58:46.957882,,,,,,Rack2-Switch-2.cfx.local,Rack2-Switch-2.cfx.local,Chassis,10.95.158.251,MANAGED,2025-03-21T04:58:56.224284,ACCESS,1742533136321000050b9aadaf,1,,,,,,,,,,,,,
Chassis,Nexus5010 Chassis,Cisco Systems,N5K-C5010P-BF,SSI144913H3,10.95.158.10,"Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 5.2(1)N1(9b), RELEASE SOFTWARE Copyright (c) 2002-2011 by Cisco Systems, Inc. Device Manager Version 6.1(1),  Compiled 1/31/2017 0:00:00",10.95.158.10,Cisco NX-OS,5.2(1)N1(9b),who@where,CFX-Pleasanton-HQ,N5K-B.engr.cloudfabrix.com,10.95.158.10,Chassis,org_id,SSI144913H3,N5K-B.en,2025-03-21T04:58:46.956852,10.95.158.10,21.0,18.0,3.0,0.0,N5K-B.engr.cloudfabrix.com,N5K-B.engr.cloudfabrix.com,Chassis,10.95.158.10,MANAGED,2025-03-21T04:58:56.224250,ACCESS,1742533136321000040b9aadaf,1,,,,,,,,,,,,,
Chassis,WS-C3560X-24,Cisco Systems,WS-C3560X-24T-S,FDO1709Z29Q,10.95.158.1,"Cisco IOS Software, C3560E Software (C3560E-UNIVERSALK9-M), Version 15.2(3)E, RELEASE SOFTWARE (fc4)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2014 by Cisco Systems, Inc.
Compiled Sun 07-Dec-14 16:41 by prod_rel_team",10.95.158.1,Cisco IOS,15.2(3)E,cfxsupport@cloudfabrix.com,CFX-Pleasanton-HQ,CFX-MainSwitch.cfx.local,10.95.158.1,Chassis,org_id,FDO1709Z29Q,CFX-Main,2025-03-21T04:58:46.956493,10.95.158.1,31.0,10.0,21.0,1.0,CFX-MainSwitch.cfx.local,CFX-MainSwitch.cfx.local,Chassis,10.95.158.1,MANAGED,2025-03-21T04:58:56.224214,ACCESS,1742533136321000030b9aadaf,1,,,,,,,,,,,,,
Chassis,Nexus5548 Chassis,Cisco Systems,N5K-C5548UP,SSI154300PX,10.95.131.56,"Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 7.1(5)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 9/19/2017 3:00:00",10.95.131.56,Cisco NX-OS,7.1(5)N1(1),who@where,snmplocation,N5548-DR-B,10.95.131.56,Chassis,org_id,SSI154300PX,N5548-DR,2025-03-21T04:58:46.956308,10.95.131.56,33.0,19.0,14.0,1.0,N5548-DR-B,N5548-DR-B,Chassis,10.95.131.56,MANAGED,2025-03-21T04:58:56.224173,ACCESS,1742533136321000020b9aadaf,1,,,,,,,,,,,,,
Chassis,Nexus5548 Chassis,Cisco Systems,N5K-C5548UP,SSI15460D73,10.95.131.55,"Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 7.1(5)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 9/19/2017 3:00:00",10.95.131.55,Cisco NX-OS,7.1(5)N1(1),who@where,snmplocation,N5548-DR-A,10.95.131.55,Chassis,org_id,SSI15460D73,N5548-DR,2025-03-21T04:58:46.956103,10.95.131.55,33.0,17.0,16.0,0.0,N5548-DR-A,N5548-DR-A,Chassis,10.95.131.55,MANAGED,2025-03-21T04:58:56.224075,ACCESS,1742533136321000010b9aadaf,1,,,,,,,,,,,,,
