Unnamed: 0,haLastContact,activationState,customInfo,deviceId,recentLinks_backupState,gateway_id,recentLinks_created,recentLinks_edgeId,source_ip,peerName,serviceState,recentLinks_operatorAlertsEnabled,state,bastionState,recentLinks_alertsEnabled,haPreviousState,recentLinks_serviceState,standbySystemUpSince,operatorAlertsEnabled,deviceFamily,softwareUpdated,node_label,recentLinks_logicalId,systemUpSince,serviceUpSince_days_category,softwareVersion,recentLinks_interface,recentLinks_lastEventState,timestamp,_RDA_Id,city,factorySoftwareVersion,recentLinks_vpnState,latitude,layer,collection_status,selfMacAddress,alertsEnabled,key,recentLinks_linkMode,recentLinks_networkType,serviceUpSince_days,edgeState,count_,serviceUpSince,recentLinks_lastEvent,recentLinks_org,recentLinks_effectiveState,modelNumber,enterpriseId,node_id,country,recentLinks_networkSide,gateway_softwareVersion,edge_id,source,activationKeyExpires,systemUpSince_days,collection_timestamp,isLive,node_type,isHub,recentLinks_displayName,modified,iconURL,gateway_name,longitude,recentLinks_lon,recentLinks_lastActive,serialNumber,unique_id,created,activationKey,lastContact,ingestion_id,name,recentLinks_userOverride,customerTag,edge_ip,projectId,recentLinks_state,recentLinks_lat,recentLinks_modified,haState,endpointPkiMode,recentLinks_isp,edgeName,recentLinks_id,edge_role,enterpriseLogicalId,activationTime,standbyServiceUpSince,gateway_state,systemUpSince_days_category,edgeStateTime,logicalId,recentLinks_internalId,recentLinks_overlayType,siteId,gateway_ip,factoryBuildNumber,recentLinks,haSerialNumber,standbyModelNumber,standbySoftwareVersion,platformFirmwareVersion,platformBuildNumber,standbyFactorySoftwareVersion,standbyFactoryBuildNumber,haMode,lteRegion,modemFirmwareVersion,modemBuildNumber,recentLinks_holdingEdgeSerialNumber,device_additional_ips,device_mgmt_ip,device_serial_number,system_vendor_os,device_hostname,device_version_summary,down_eth_ports,parent_pid,device_status,admin_down_eth_ports,device_ip,org_id,device_hostname_short,total_eth_ports,left_rows,up_eth_ports,device_model,device_object,device_fw_type,device_equip_type,device_fw_version,system_vendor_id,device_eq_description,device_location,target,system_vendor_sub_id,CLLI_code,parent_sn,target_ip,device_vendor,family,credential_id,device_contact,systemVendorName,sysUpTime,sysServices,sysObjectID,__uuid
5,2024-02-21T07:45:16.000Z,ACTIVATED,7/F Business Center 4-1-32 Central District Tokyo Japan #3068,EF6F0C41-06D2-4E4C-9423-CF077CA669A5,UNCONFIGURED,21.0,2022-03-30T06:10:24.000Z,5094.0,nw164-zglbk.cloudnetwork.net,ACMEORGFUKJP04PVCE01,IN_SERVICE,1.0,JP,UNCONFIGURED,1.0,UNCONFIGURED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE6X0,2023-04-22T16:13:09.000Z,ACMEORGFUKJP04PVCE01,1d85df94c60a5639cccb167b398e5222,2023-12-14T15:17:24.000Z,>100,4.5.1,GE4,STABLE,2024-09-04T05:20:56.329915,1743138561885000032ebe05cc,FUK,3.3.2,STABLE,33.5904,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,118.0,CONNECTED,1,2023-12-14T15:17:58.000Z,2023-12-14T15:18:48.000Z,NTT,STABLE,edge680,16.0,ACMEORGFUKJP04PVCE01,JP,WAN,5.4.0.0,5094.0,edge,2022-04-27T13:11:44.000Z,118.0,2024-04-10T08:00:17.284000,0.0,Edge,False,TEL- WXYZ.262679..XYZ,2024-04-10T00:28:15.000Z,Device,vcg18-icn1,130.4017,130.509003,2024-04-10T07:55:17.000Z,G2N9V43,"5094,JPOMNGFUKJP04PVCE01",2022-03-28T13:11:44.000Z,MT2T-QFLS-UMBT-BVX4,2024-04-10T08:00:06.050Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGFUKJP04PVCE01,1.0,DemoCustomer-1,10.10.215.37,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,33.3311,2024-04-10T07:55:18.000Z,UNCONFIGURED,CERTIFICATE_OPTIONAL,NTT,ACMEORGFUKJP04PVCE01,14672.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2022-03-30T05:54:06.000Z,0000-00-00 00:00:00.000,CONNECTED,>100,0000-00-00 00:00:00,2987e657-0342-4247-b0ae-e1be598422d4,80000004-0342-4247-b0ae-e1be598422d4,IPv4,5137.0,10.10.14.186,R332-20200527-MR-6X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642b2015-cfa9-421c-87ec-69d028064f80
6,2024-04-02T16:54:53.000Z,ACTIVATED,173 Main Street Philadelphia CA UK #2542,47530952-592C-4335-8524-70D51CFFB7D6,UNCONFIGURED,32.0,2022-03-14T14:35:20.000Z,4363.0,nw164-zglbk.cloudnetwork.net,ACMEORGUJATN01PVCE01_EHA,IN_SERVICE,1.0,TN,UNCONFIGURED,1.0,FAILED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE6X0,2023-04-23T02:37:06.000Z,ACMEORGUJATN01PVCE01_EHA,10:b3:d6:14:e3:dd:0050,2023-09-08T00:53:17.000Z,<30,4.5.1,SFP2,STABLE,2024-09-04T05:20:56.329054,1743138561885000022ebe05cc,UJA,3.3.2,STABLE,35.1495,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,8.0,CONNECTED,1,2024-04-02T16:50:28.000Z,2024-04-05T20:07:58.000Z,ACME Internet,STABLE,edge680,16.0,ACMEORGUJATN01PVCE01_EHA,US,WAN,5.4.0.0,4363.0,edge,2022-02-11T12:25:49.000Z,215.0,2024-04-10T08:00:17.284000,0.0,Edge,False,XYZ Connect GE6,2024-04-02T16:54:53.000Z,Device,vcg42-iad1,-90.049,-86.829002,2024-04-10T07:55:23.000Z,F997V43,"4363,USOMNGUJATN01PVCE01_EHA",2022-01-12T12:25:48.000Z,XWYW-LFV2-Z4Y3-G7WW,2024-04-10T08:00:02.392Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGUJATN01PVCE01_EHA,1.0,DemoCustomer-1,10.10.104.24,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,34.1758,2024-04-10T07:55:23.000Z,READY,CERTIFICATE_OPTIONAL,ACME Internet,ACMEORGUJATN01PVCE01_EHA,14258.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2022-01-24T16:42:50.000Z,0000-00-00 00:00:00.000,CONNECTED,>100,0000-00-00 00:00:00,82c0a2b0-1852-42fd-8941-2517dd978719,00000202-1852-42fd-8941-2517dd978719,IPv4,4406.0,10.10.29.42,R332-20200527-MR-6X0,,1C97V43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9f4286fd-53dc-4073-a52c-b2ed230bd19c
8,2024-02-21T07:45:27.000Z,ACTIVATED,(CloudServices) 91 Oak Boulevard New York TX Japan #8504,0683CEDA-090B-4A13-858F-98E450A688C3,UNCONFIGURED,38.0,2022-02-25T02:44:34.000Z,4585.0,nw164-zglbk.cloudnetwork.net,ACMEORGQCWCT02PVCE01_EHA,IN_SERVICE,1.0,CT,UNCONFIGURED,1.0,FAILED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE6X0,2023-02-09T23:38:25.000Z,ACMEORGQCWCT02PVCE01_EHA,00:c1:64:45:36:bf:0025,2023-05-08T21:09:53.000Z,>100,4.5.1,SFP2,STABLE,2024-09-04T05:20:56.327871,1743138561885000052ebe05cc,QCW,3.3.2,STABLE,41.3948,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,325.0,CONNECTED,1,2023-05-21T02:24:33.000Z,2024-03-07T16:01:59.000Z,ACME Internet,STABLE,edge680,16.0,ACMEORGQCWCT02PVCE01_EHA,US,WAN,5.4.0.0,4585.0,edge,2022-03-06T08:25:33.000Z,337.0,2024-04-10T08:00:17.284000,0.0,Edge,False,DEF- 34CD.911809..XYZ,2024-02-21T07:45:27.000Z,Device,vcg50-nyc4,-73.454,-71.643501,2024-04-10T07:55:20.000Z,GY26V43,"4585,USOMNGQCWCT02PVCE01_EHA",2022-02-04T08:25:32.000Z,C5V3-9TSU-SH2B-GGNV,2024-04-10T08:00:15.216Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGQCWCT02PVCE01_EHA,1.0,DemoCustomer-1,10.10.227.95,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,41.639999,2024-04-10T07:55:20.000Z,READY,CERTIFICATE_OPTIONAL,ACME Internet,ACMEORGQCWCT02PVCE01_EHA,13724.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2022-02-25T00:27:12.000Z,0000-00-00 00:00:00.000,CONNECTED,>100,0000-00-00 00:00:00,69d82a4a-604f-47b1-a6dc-9a6c67228e22,00000202-604f-47b1-a6dc-9a6c67228e22,IPv4,4628.0,10.10.25.50,R332-20200129-MR-6X0,,6R87V43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c442253-d36c-4fbd-9c83-814fd677e003
9,2024-02-21T07:45:32.000Z,ACTIVATED,325 Park Avenue Chicago IL Germany #1943,E7F3E457-8AD4-433B-9A57-2C6BA14E3CC5,UNCONFIGURED,33.0,2023-10-19T22:30:22.000Z,9168.0,nw164-zglbk.cloudnetwork.net,ACMEORGUYXNJ01PVCE01,IN_SERVICE,1.0,NJ,UNCONFIGURED,1.0,UNCONFIGURED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE6X0,2023-08-28T21:49:40.000Z,ACMEORGUYXNJ01PVCE01,3c:9a:77:23:75:ab:0000,2023-09-05T23:02:23.000Z,30-100,4.5.1,GE4,STABLE,2024-09-04T05:20:56.322131,1743138561885000062ebe05cc,UYX,3.3.2,STABLE,40.7128,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,38.0,CONNECTED,1,2024-03-03T02:29:18.000Z,2024-04-07T08:56:40.000Z,Comcast Business,STABLE,edge680,16.0,ACMEORGUYXNJ01PVCE01,US,WAN,5.4.0.0,9168.0,edge,2023-09-23T08:41:37.000Z,217.0,2024-04-10T08:00:17.284000,0.0,Edge,False,SpeedNet,2024-03-03T02:30:45.000Z,Device,vcg38-nyc4,-74.006,-74.160103,2024-04-10T07:55:22.000Z,7397V43,"9168,USOMNGUYXNJ01PVCE01",2023-06-08T22:53:37.000Z,KFQ8-N4XF-69TV-YC56,2024-04-10T07:59:49.225Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGUYXNJ01PVCE01,0.0,DemoCustomer-1,10.10.99.102,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,39.976898,2024-04-10T07:55:22.000Z,UNCONFIGURED,CERTIFICATE_OPTIONAL,Comcast Business,ACMEORGUYXNJ01PVCE01,28715.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2023-08-28T21:30:02.000Z,0000-00-00 00:00:00.000,CONNECTED,>100,0000-00-00 00:00:00,43de2d01-440d-4d00-a342-3125160984b4,00000004-440d-4d00-a342-3125160984b4,IPv4,9230.0,10.10.25.38,R332-20200527-MR-6X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecdc1928-dbbe-466a-841a-06d7a62dfa45
10,2024-03-03T02:07:22.000Z,ACTIVATED,407 Main Street San Antonio GA US #5137,A0D20E99-2392-4594-8EAA-E9BAC64FC6A5,UNCONFIGURED,52.0,2023-01-12T21:10:27.000Z,7308.0,nw164-zglbk.cloudnetwork.net,ACMEORGSANCL04PVCE01_EHA,IN_SERVICE,1.0,CL,UNCONFIGURED,1.0,FAILED,IN_SERVICE,2024-02-20T21:23:16.000Z,1.0,EDGE6X0,2024-02-20T22:10:40.000Z,ACMEORGSANCL04PVCE01_EHA,24:36:da:75:7f:f4:0000,2024-02-26T12:24:48.000Z,30-100,4.5.1,GE4,DISCONNECTED,2024-09-04T05:20:56.321541,1743138561885000072ebe05cc,SAN,3.3.2,STABLE,-33.4489,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,38.0,CONNECTED,1,2024-03-03T02:04:39.000Z,2024-03-03T02:07:22.000Z,Entel Chile,STABLE,edge620,16.0,ACMEORGSANCL04PVCE01_EHA,CL,WAN,5.4.0.0,7308.0,edge,2024-03-20T15:04:13.000Z,44.0,2024-04-10T08:00:17.284000,0.0,Edge,False,GlobalNet,2024-03-20T12:19:45.000Z,Device,vcg55-cdg3,-70.6693,-70.653603,2024-04-10T08:00:15.000Z,8PKBV43,"7308,CLOMNGSANCL04PVCE01_EHA",2022-10-06T09:08:35.000Z,ZL4F-CMF6-2B5M-DQT9,2024-04-10T08:00:00.182Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGSANCL04PVCE01_EHA,0.0,DemoCustomer-1,10.10.79.122,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,-33.452099,2024-04-10T08:00:15.000Z,READY,CERTIFICATE_OPTIONAL,Entel Chile,ACMEORGSANCL04PVCE01_EHA,22172.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2022-10-20T15:00:33.000Z,2024-02-20T21:24:52.842Z,CONNECTED,30-100,0000-00-00 00:00:00,bc9e770a-7c96-4ce6-801d-1baa302c901a,00000004-7c96-4ce6-801d-1baa302c901a,IPv4,7362.0,10.10.97.55,R332-20200527-MR-6X0,,D4HJPK2,edge620,5.2.2.0,1.3.1,"R131-20221216-GA(BIOS_3.50.0.9-10_CPLD_0x07_PIC_v20N), HASupported Upgradable",3.3.2,R332-20200527-MR-6X0,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93561e3a-24f4-4e04-960c-d6c93d444ec8
11,2024-02-21T07:45:31.000Z,ACTIVATED,826 Broadway New York IL Australia #7645,5332D67D-E791-4BA6-9767-751BDE498ED0,UNCONFIGURED,42.0,2022-10-11T13:15:51.000Z,3933.0,nw164-zglbk.cloudnetwork.net,ACMEORGBELSB01PVCE01,IN_SERVICE,1.0,SB,UNCONFIGURED,1.0,UNCONFIGURED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE6X0,2022-10-11T13:21:36.000Z,ACMEORGBELSB01PVCE01,b0:a6:51:14:3c:48:0000,2023-04-21T11:40:14.000Z,>100,4.5.1,GE3,STABLE,2024-09-04T05:20:56.320916,1743138561885000092ebe05cc,BEL,3.3.2,STABLE,44.7866,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,147.0,CONNECTED,1,2023-11-14T21:47:16.000Z,2024-04-07T17:48:23.000Z,Telekom Srbija,STABLE,edge620,16.0,ACMEORGBELSB01PVCE01,RS,WAN,5.4.0.0,3933.0,edge,2022-10-21T19:31:30.000Z,355.0,2024-04-10T08:00:17.284000,0.0,Edge,False,NetWave,2024-04-07T17:49:30.000Z,Device,vcg46-fra3,20.4489,20.463699,2024-04-10T07:55:17.000Z,7S69V43,"3933,RSOMNGBELSB01PVCE01",2021-12-17T08:54:36.000Z,EVLJ-PEEZ-EWJR-A2BP,2024-04-10T08:00:08.914Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGBELSB01PVCE01,0.0,DemoCustomer-1,10.10.149.16,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,44.8046,2024-04-10T07:55:17.000Z,UNCONFIGURED,CERTIFICATE_OPTIONAL,Telekom Srbija,ACMEORGBELSB01PVCE01,19575.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2022-10-11T13:09:00.000Z,0000-00-00 00:00:00.000,CONNECTED,>100,0000-00-00 00:00:00,6e1b1d74-7dbc-4fe7-923d-c5dc95c35986,00000003-7dbc-4fe7-923d-c5dc95c35986,IPv4,3975.0,10.10.103.46,R332-20200527-MR-6X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a65eb697-72fb-4f01-922d-352c6b36d24f
12,2024-02-21T07:45:27.000Z,ACTIVATED,30-1 Shibuya Crossing Tokyo Japan #7229,0F6DCF50-13B7-4C98-9F2C-135047447425,UNCONFIGURED,39.0,2023-06-20T06:30:16.000Z,9117.0,nw164-zglbk.cloudnetwork.net,ACMEORGSINSG06VCE01_EHA,IN_SERVICE,1.0,SG,UNCONFIGURED,1.0,FAILED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE3X00,2023-06-09T03:57:46.000Z,ACMEORGSINSG06VCE01_EHA,08:96:ad:39:36:42:0000,2023-11-17T07:44:28.000Z,>100,4.5.1,GE4,STABLE,2024-09-04T05:20:56.320334,1743138561885000082ebe05cc,SIN,3.3.0,STABLE,1.3521,Network,Success,1c:72:1d:ec:41:9f,1.0,key,ACTIVE,ETHERNET,145.0,CONNECTED,1,2023-11-17T07:45:07.000Z,2024-01-31T13:08:21.000Z,COLT Technology Services Group Limited,STABLE,edge3800,16.0,ACMEORGSINSG06VCE01_EHA,SG,WAN,5.4.0.0,9117.0,edge,2023-07-02T12:45:41.000Z,145.0,2024-04-10T08:00:17.284000,0.0,Edge,False,DEF Connect GE2,2024-04-03T09:28:05.000Z,Device,vcg45-sin2,103.8198,103.854698,2024-04-10T08:00:01.000Z,JQ6RY03,"9117,SGOMNGSINSG06VCE01_EHA",2023-06-02T12:45:41.000Z,GARS-EY2L-6PWK-KPDS,2024-04-10T08:00:06.088Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGSINSG06VCE01_EHA,0.0,DemoCustomer-1,10.10.236.83,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,1.2929,2024-04-10T08:00:01.000Z,READY,CERTIFICATE_OPTIONAL,COLT Technology Services Group Limited,ACMEORGSINSG06VCE01_EHA,26180.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2023-06-09T03:47:43.000Z,0000-00-00 00:00:00.000,CONNECTED,>100,0000-00-00 00:00:00,a7157f34-5a9d-4e0c-8e09-06931bd5c303,00000004-5a9d-4e0c-8e09-06931bd5c303,IPv4,9179.0,10.10.113.45,R330-MAESTRO-20200528-MFG,,D43RY03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bc47235-6761-4ac7-b522-ec5c333f7a1c
13,2024-02-21T07:45:09.000Z,ACTIVATED,389 First Avenue San Antonio Florida Japan #4964,DC41813C-9108-4915-89ED-DC6A3A9D9E7F,UNCONFIGURED,39.0,2023-02-25T09:10:03.000Z,5673.0,nw164-zglbk.cloudnetwork.net,ACMEORGWPWAU01VCE01,IN_SERVICE,1.0,AU,UNCONFIGURED,1.0,UNCONFIGURED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE6X0,2023-03-27T23:50:16.000Z,ACMEORGWPWAU01VCE01,64:c3:d6:fa:aa:00:0000,2024-01-04T01:51:31.000Z,30-100,4.5.1,GE5,STABLE,2024-09-04T05:20:56.319743,1743138561885000112ebe05cc,WPW,3.3.2,STABLE,-34.4278,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,97.0,CONNECTED,1,2024-01-04T01:52:05.000Z,2024-01-08T12:17:45.000Z,Optus,STABLE,edge620,16.0,ACMEORGWPWAU01VCE01,AU,WAN,5.4.0.0,5673.0,edge,2022-06-23T07:08:46.000Z,97.0,2024-04-10T08:00:17.284000,0.0,Edge,False,NetConnect,2024-02-21T07:45:09.000Z,Device,vcg45-sin2,150.8931,145.764496,2024-04-10T07:55:26.000Z,8P2KPK2,"5673,AUOMNGWPWAU01VCE01",2022-05-24T07:08:46.000Z,5P54-8TGM-E858-5NL3,2024-04-10T07:59:53.391Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGWPWAU01VCE01,0.0,DemoCustomer-1,10.10.170.228,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,-16.927401,2024-04-10T07:55:26.000Z,UNCONFIGURED,CERTIFICATE_OPTIONAL,Optus,ACMEORGWPWAU01VCE01,23269.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2022-06-01T08:26:15.000Z,0000-00-00 00:00:00.000,CONNECTED,30-100,0000-00-00 00:00:00,e2ec0776-c8da-4d5d-9b0f-35461600f241,00000005-c8da-4d5d-9b0f-35461600f241,IPv4,5716.0,10.10.113.45,R332-20200129-MR-6X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75c051a3-c8df-4a4d-92ab-3306c41cc0a3
14,2024-03-29T09:27:49.000Z,ACTIVATED,422 Maple Drive Phoenix Pennsylvania US #7045,83D04A34-7CE6-45A8-909E-21AE58CA7423,UNCONFIGURED,36.0,2023-10-31T12:45:26.000Z,10407.0,nw164-zglbk.cloudnetwork.net,ACMEORGDUSGE03PVCE01_SHA,IN_SERVICE,1.0,GE,UNCONFIGURED,1.0,FAILED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE3X00,2023-10-31T12:41:27.000Z,ACMEORGDUSGE03PVCE01_SHA,28:c0:da:b7:3f:71:0000,2023-10-31T13:06:45.000Z,<30,4.5.1,SFP1,STABLE,2024-09-04T05:20:56.319138,1743138561885000102ebe05cc,DUS,3.3.0,STABLE,51.2277,Network,Success,1c:72:1d:ec:f1:9f,1.0,key,ACTIVE,ETHERNET,11.0,CONNECTED,1,2024-03-30T04:19:48.000Z,2024-04-05T18:08:13.000Z,COLT Technology Services Group,STABLE,edge3800,16.0,ACMEORGDUSGE03PVCE01_SHA,DE,WAN,5.4.0.0,10407.0,edge,2023-11-29T13:36:39.000Z,162.0,2024-04-10T08:00:17.284000,0.0,Edge,False,GHI Business SFP3,2024-04-05T18:09:30.000Z,Device,vcg56-dfw1,6.7735,6.7734,2024-04-10T08:00:13.000Z,9D3RY03,"10407,DEOMNGDUSGE03PVCE01_SHA",2023-10-30T13:36:39.000Z,WMHF-SYLM-5L8S-YD46,2024-04-10T07:59:50.757Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGDUSGE03PVCE01_SHA,0.0,DemoCustomer-1,10.10.77.219,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,51.218399,2024-04-10T08:00:13.000Z,READY,CERTIFICATE_OPTIONAL,COLT Technology Services Group,ACMEORGDUSGE03PVCE01_SHA,29025.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2023-10-31T12:31:54.000Z,0000-00-00 00:00:00.000,CONNECTED,>100,0000-00-00 00:00:00,af34fa3f-f47e-4b8b-a7b1-bb63a4273236,00000201-f47e-4b8b-a7b1-bb63a4273236,IPv4,10477.0,10.10.31.56,R330-MAESTRO-20200528-MFG,,HT6RY03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b9272b8-fb1f-49a4-b36f-cc163ebb7567
15,2024-03-25T16:23:01.000Z,ACTIVATED,272 Cedar Lane Chicago California UK #1617,A15C9C43-D377-4721-8960-F0ED2479A9DB,UNCONFIGURED,29.0,2022-11-24T11:58:50.000Z,7700.0,nw164-zglbk.cloudnetwork.net,ACMEORGNOIIN01PVCE01_EHA,IN_SERVICE,1.0,IN,UNCONFIGURED,1.0,FAILED,IN_SERVICE,0000-00-00 00:00:00.000,1.0,EDGE6X0,2022-11-09T07:32:19.000Z,ACMEORGNOIIN01PVCE01_EHA,96:bf:94:fe:b3:7d:0000,2024-03-25T16:19:10.000Z,<30,4.5.1,GE4,STABLE,2024-09-04T05:20:56.318555,1743138561885000122ebe05cc,NOI,3.3.2,STABLE,28.6139,Network,Success,00:00:00:00:00:00,1.0,key,ACTIVE,ETHERNET,16.0,CONNECTED,1,2024-03-25T16:19:45.000Z,2024-03-25T16:23:01.000Z,Airtel,STABLE,edge620,16.0,ACMEORGNOIIN01PVCE01_EHA,IN,WAN,5.4.0.0,7700.0,edge,2022-12-07T10:03:29.000Z,16.0,2024-04-10T08:00:17.284000,0.0,Edge,False,NetConnect,2024-04-02T03:11:45.000Z,Device,vcg17-chn1,77.209,75.141701,2024-04-10T08:00:06.000Z,HJ7NV43,"7700,INOMNGNOIIN01PVCE01_EHA",2022-11-07T10:03:29.000Z,FP74-M8NF-2TLD-UG89,2024-04-10T08:00:04.070Z,941b8889f11e7bc494f9baec6a09a12e,ACMEORGNOIIN01PVCE01_EHA,0.0,DemoCustomer-1,10.10.159.236,1b54a440-bfbd-11ef-be99-0242ac120006,STABLE,15.3581,2024-04-10T08:00:06.000Z,READY,CERTIFICATE_OPTIONAL,Airtel,ACMEORGNOIIN01PVCE01_EHA,21166.0,BRANCH,d597de76-4c56-494d-a90f-8a78f6c6f270,2022-11-09T07:18:25.000Z,0000-00-00 00:00:00.000,CONNECTED,<30,0000-00-00 00:00:00,ed6adcbd-c092-4421-889d-98add98d5f96,00000004-c092-4421-889d-98add98d5f96,IPv4,7755.0,10.10.70.28,R332-20200129-MR-6X0,,J686V43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dfbb080-adf9-459e-a056-d49bb3210572
